study,group,name,graft,n,age_mean,age_sd,female,bmi_mean,bmi_sd,tegner,age_other,bmi_note,group_indep,group_indep_notes,timepoint_combo,combination_notes
Casp 2021,2,Isolated ACLR,mixed,50,22.9,10.1,31,NA,NA,5.7,NA,NA,1,NA,1,NA
Casp 2021,3,ACLR-MS,mixed,23,25,12.5,23,NA,NA,6,NA,NA,1,NA,1,NA
Casp 2021,4,ACLR-MR,mixed,71,20.3,7,33,NA,NA,6,NA,NA,1,NA,1,NA
Chantrelle 2023,1,AKP Positive,HS,49,29.7,7.7,13,NA,NA,NA,NA,NA,1,NA,1,NA
Chantrelle 2023,2,AKP negative,HS,281,25.8,6.8,82,NA,NA,NA,NA,NA,1,NA,1,NA
Coquard 2022,1,Isolated ACLR,HS,111,37.57,10.05,50,24.32,3.57,NA,NA,NA,1,NA,1,NA
Coquard 2022,2,ACLR-ALLR,HS,111,37.67,8.87,47,24.6,3.43,NA,NA,NA,1,NA,1,NA
Costa 2022,1,Low tension,mixed,32,24.8,9.3,18,NA,NA,NA,NA,NA,1,NA,1,NA
Costa 2022,2,High tension,mixed,28,22.3,6.9,16,NA,NA,NA,NA,NA,1,NA,1,NA
Costa 2022,3,Healthy Control,"NA",35,26.2,7.1,15,NA,NA,NA,NA,NA,1,NA,1,NA
Crotty 2022,1,Group 1,mixed,116,24.3,6.5,0,NA,NA,NA,NA,NA,NA,NA,0,NA
Czamara 2021,1,ACLR-I,HS,20,25.8,5.48,0,NA,NA,NA,NA,NA,1,NA,1,NA
Czamara 2021,2,ACLR-II,HS,20,25.1,6.58,0,NA,NA,NA,NA,NA,1,NA,1,NA
Czamara 2021,3,Healthy Control,"NA",20,24.85,3.12,NA,NA,NA,NA,NA,NA,1,NA,1,NA
Dauty 2022a,1,Returned to running,BPTB,103,24,6,29,NA,NA,NA,NA,NA,1,NA,1,NA
Dauty 2022a,2,No return to running,BPTB,113,24.9,5.6,31,NA,NA,NA,NA,NA,1,NA,1,NA
Dauty 2022b,1,Arthrofibrosis,mixed,59,25,7,20,NA,NA,4,NA,NA,1,NA,1,NA
Dauty 2022b,2,No arthrofibrosis,mixed,480,25,6,135,NA,NA,4,NA,NA,1,NA,1,NA
Fukuyama 2022,1,ACL,ACLD,20,24.7,6.9,12,23.3,4.1,NA,NA,NA,1,NA,0,NA
Fukuyama 2022,2,Healthy Control,"NA",20,27.6,4,8,21.8,3.3,NA,NA,NA,1,NA,0,NA
deSouzaBorges 2022,1,Contralateral,PT - Contralateral,44,27.9,8.9,0,27.3,16.7,NA,NA,NA,1,NA,1,NA
deSouzaBorges 2022,2,Ipsilateral,PT - Ipsilateral,44,26.3,6.2,0,25,4,NA,NA,NA,1,NA,1,NA
Devitt 2022,1,Injured KF,mixed,32,24.2,6.7,11,NA,NA,NA,NA,NA,1,NA,1,NA
Devitt 2022,2,Intact KF,mixed,90,24.2,6.3,32,NA,NA,NA,NA,NA,1,NA,1,NA
Dragicevic 2022,1,Group A,HS,35,27.21,1.45,4,NA,NA,NA,NA,NA,1,NA,1,NA
Dragicevic 2022,2,Group B,HS,35,27.43,2.97,6,NA,NA,NA,NA,NA,1,NA,1,NA
Drigny 2022,1,Group 1,mixed,113,25.2,9.7,47,NA,NA,NA,NA,NA,NA,NA,0,NA
Duckett 2021,1,ACLR,mixed,77,21.9,7.8,37,NA,NA,NA,NA,NA,1,NA,0,NA
Duckett 2021,2,Healthy Control,"NA",76,22,4.2,42,NA,NA,NA,NA,NA,1,NA,0,NA
Ebert 2021a,1,Entire cohort,HS,50,28.3,9.1,16,24.6,2.8,NA,NA,NA,0,Group 1 is whole cohort of 2 and 3 (men and women)),0,NA
Ebert 2021a,2,Males,HS,34,NA,NA,0,NA,NA,NA,NA,NA,0,Group 1 is whole cohort of 2 and 3 (men and women)),0,NA
Ebert 2021a,3,Females,HS,16,NA,NA,16,NA,NA,NA,NA,NA,0,Group 1 is whole cohort of 2 and 3 (men and women)),0,NA
Ebert 2021b,1,Entire cohort,HS,50,28.3,9.1,16,24.6,2.8,NA,NA,NA,NA,NA,0,NA
Ebert 2022a,1,DB Hams,HS,69,30.8,10.6,25,26,3.1,6,NA,NA,1,NA,1,NA
Ebert 2022a,2,DB Hams LARS,LARS + HS,67,31.1,9.3,22,26.2,3.1,5.8,NA,NA,1,NA,1,NA
Faleide 2021,1,Group 1,mixed,103,28.7,10,58,NA,NA,NA,NA,NA,NA,NA,0,NA
Faltstrom 2021,1,ACLR,mixed,117,20,2,117,NA,NA,NA,NA,NA,1,NA,0,NA
Faltstrom 2021,2,Healthy Control,"NA",119,19,3,119,NA,NA,NA,NA,NA,1,NA,0,NA
Felix 2022,1,ACL group,not stated,34,25.05,6.82,7,23.62,2.72,7.6,NA,NA,1,NA,0,NA
Felix 2022,2,Healthy Control,"NA",40,27.7,8.16,7,23.68,0.29,8,NA,NA,1,NA,0,NA
Gauthier 2022,1,Group 1,mixed,303,27,8,91,24.3,4.2,NA,NA,NA,NA,NA,0,NA
Goto 2022,1,Group S,QT,22,35.4,10.9,22,22.8,2.6,NA,NA,NA,1,NA,1,NA
Goto 2022,2,Group L,QT,51,33.1,11.7,51,22.7,3.8,NA,NA,NA,1,NA,1,NA
Grondin 2022,1,Returned to running,HS - ST/G,261,26.1,6.4,79,NA,NA,NA,NA,NA,1,NA,1,NA
Grondin 2022,2,No return to running,HS - ST/G,152,26.4,6.2,44,NA,NA,NA,NA,NA,1,NA,1,NA
Hart 2022,1,BPTB,BPTB,297,25,4,0,NA,NA,NA,NA,NA,1,NA,1,NA
Hart 2022,2,HT,HS,60,26,5,0,NA,NA,NA,NA,NA,1,NA,1,NA
Hogberg 2023,1,10 weeks,HS,43,23.3,7.3,18,24.8,2.8,NA,NA,NA,0,"Different timepoints, but overlapping patients, unclear how many (total n=137)",0,NA
Hogberg 2023,2,4 month,HS,47,23.9,7.2,23,24.1,2.7,NA,NA,NA,0,"Different timepoints, but overlapping patients, unclear how many (total n=137)",0,NA
Hogberg 2023,3,8 months,HS,48,24.8,7.7,22,23.9,2.6,NA,NA,NA,0,"Different timepoints, but overlapping patients, unclear how many (total n=137)",0,NA
Hogberg 2023,4,12 months,HS,47,25.9,9.6,21,24.1,2.1,NA,NA,NA,0,"Different timepoints, but overlapping patients, unclear how many (total n=137)",0,NA
Hunnicutt 2021,1,Total,QT,320,18.1,3.1,164,23.8,3.7,NA,NA,NA,NA,NA,0,NA
Ivarsson 2022,1,Group 1,mixed,72,25.8,5.4,37,24.9,4,NA,NA,NA,NA,NA,0,NA
Iwame 2021,1,Group 1,HS,83,26.6,12.4,47,23.8,4,7,NA,NA,NA,NA,0,NA
Jeon 2022,1,Group 1,mixed,76,28.6,12,11,24.6,3.3,8,NA,NA,NA,NA,0,NA
Jiang 2021,1,AR,HS - ST/G,33,32,9.7,4,22.9,2.5,NA,NA,NA,1,NA,1,NA
Jiang 2021,2,"NAR",HS - ST/G,39,32.4,12.7,10,24.1,3.2,NA,NA,NA,1,NA,1,NA
Johnston 2022,1,Quadriceps tendon,QT,35,20,8,7,NA,NA,NA,NA,NA,1,NA,1,NA
Johnston 2022,2,Hamstring Tendon,HS,70,20,9,16,NA,NA,NA,NA,NA,1,NA,1,NA
Keays 2022,1,Reconstructed group,mixed,56,33,NA,17,NA,NA,8.4,NA,NA,1,NA,0,NA
Keays 2022,2,Non-reconstructed,ACLD,45,38,NA,15,NA,NA,NA,NA,NA,1,NA,0,NA
Kim 2022,1,Q1,HS - ST/G,26,NA,NA,0,NA,NA,NA,Median 31.5 (IQR 24.0 to 37.0),Median 25.3 (IQR 23.6 to 26.8),1,NA,1,NA
Kim 2022,2,Q2,HS - ST/G,29,NA,NA,0,NA,NA,NA,Median 33.0 (IQR 26.8 to 40.3),Median 24.5 (IQR 21.5 to 27.2),1,NA,1,NA
Kim 2022,3,Q3,HS - ST/G,20,NA,NA,0,NA,NA,NA,Median 32.0 (IQR 27.0 to 40.5),Median 24.7 (IQR 23.7 to 27.4),1,NA,1,NA
Kim 2023,1,Group 1,HS - ST/G,61,26.9,9.8,15,24.4,3.3,NA,NA,NA,NA,NA,0,NA
King 2021,1,Contralateral injury,mixed,55,21.3,4.2,0,NA,NA,NA,NA,NA,1,NA,1,NA
King 2021,2,No Contralateral injury,mixed,60,21.9,4,0,NA,NA,NA,NA,NA,1,NA,1,NA
Lee 2021,1,Group 1,QTPB,139,30,6.5,20,25.1,4.1,3,NA,NA,NA,NA,0,NA
Li 2022,1,Water-based training,not stated,30,32,10,12,23,3,NA,NA,NA,1,NA,1,NA
Li 2022,2,Land-based training,not stated,27,35,14,11,24,3,NA,NA,NA,1,NA,1,NA
Manchado 2022,1,ST,HS - ST,22,31.7,8.5,0,NA,NA,NA,NA,NA,1,NA,1,Don't combine control
Manchado 2022,2,ST-G,HS - ST/G,22,30.9,8.8,0,NA,NA,NA,NA,NA,1,NA,1,Don't combine control
Manchado 2022,3,Healthy Control,"NA",22,31.4,8.6,NA,NA,NA,NA,NA,NA,1,NA,1,Don't combine control
Manchado 2021,1,ACLR,ACLD,194,29.5,9.9,39,NA,NA,NA,NA,NA,1,NA,0,NA
Manchado 2021,2,Healthy Control,"NA",53,29.9,8.9,7,NA,NA,NA,NA,NA,1,NA,0,NA
Markstrom 2023,1,ACLR,HS,47,24.6,4.7,29,23.7,2.5,NA,NA,NA,1,NA,0,NA
Markstrom 2023,2,Healthy Control,"NA",46,22.4,3.3,40,22.3,2,NA,NA,NA,1,NA,0,NA
Mesnard 2022,1,Hamstrings,HS,59,30.1,9.8,37,23.7,3.3,NA,NA,NA,1,NA,1,NA
Mesnard 2022,2,Hamstrings + Meniscal,HS,35,31.7,10.5,16,23.4,2.8,NA,NA,NA,1,NA,1,NA
Moran 2022a,1,Group 1,mixed,144,21.6,8.1,75,25.4,4.4,NA,NA,NA,NA,NA,0,NA
Moran 2022b,1,Overall,mixed,284,21.6,9.5,157,24.8,4.6,NA,NA,NA,NA,NA,0,NA
Murakami 2023,1,R group,mixed,60,32.1,8.2,24,NA,NA,8,NA,NA,1,NA,1,NA
Murakami 2023,2,N group,mixed,18,34.1,7.5,6,NA,NA,8,NA,NA,1,NA,1,NA
Ohji 2021,1,All,mixed,73,21,6,31,22.5,3.8,7.8,NA,NA,NA,NA,0,NA
Oliveira 2022,1,Intervention,Contralateral BPTB,44,28,9.48,16,23.7,9.33,NA,NA,NA,1,NA,1,NA
Oliveira 2022,2,Control,Contralateral BPTB,44,29,9.37,13,23.5,8.54,NA,NA,NA,1,NA,1,NA
Pedersen 2021,1,Progressive Rehabilitation Alone,ACLD,65,31.9,10.9,36,24.3,3.2,NA,NA,NA,NA,NA,0,NA
Piussi 2022,1,ACL Re-ruptures,mixed,36,22.9,4.5,19,23.5,3,NA,NA,NA,1,NA,1,NA
Piussi 2022,2,ACL Reconstruction,mixed,108,23,4.5,57,23,4.5,NA,NA,NA,1,NA,1,NA
Powers 2022,1,Group 1,mixed,79,22.9,11.5,55,NA,NA,NA,NA,NA,NA,NA,0,NA
Qiu 2022,1,ACLR,ACLD,30,NA,NA,12,22.4,2.3,7,Median 24.5 (IQR 23.0 to 29.0),NA,1,NA,0,NA
Qiu 2022,2,Healthy Control,"NA",30,NA,NA,12,23.2,2.7,7,Median 25.5 (IQR 20.0 to 30.3),NA,1,NA,0,NA
Rahova 2022,1,ACL group,not stated,20,25.4,5.32,0,23.47,1.2,NA,NA,NA,1,NA,0,NA
Rahova 2022,2,Healthy Control,"NA",20,26,4.21,0,23.54,1.48,NA,NA,NA,1,NA,0,NA
Read 2021,1,Group 1,mixed,65,24.7,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA
Read 2022,1,ACLR,mixed,26,22.5,4,0,NA,NA,NA,NA,NA,1,NA,0,NA
Read 2022,2,Healthy Control,"NA",25,25.2,4.4,0,NA,NA,NA,NA,NA,1,NA,0,NA
Runer 2022,1,QT,QT,45,28.9,11.6,16,23.9,2.6,6,NA,NA,1,NA,1,NA
Runer 2022,2,HT,HS,45,27.2,12.5,16,23.9,3,6,NA,NA,1,NA,1,NA
Salatkaite 2021,1,LSI >90%,not stated,30,22.3,5.34,10,22.98,2.35,NA,NA,NA,1,NA,1,NA
Salatkaite 2021,2,LSI <=90%,not stated,51,24.7,7.54,20,24.36,3.17,NA,NA,NA,1,NA,1,NA
SanJose 2023,1,Group 1,HS,89,NA,NA,38,NA,NA,NA,Median 21 (IQR 18-25),NA,NA,NA,0,NA
Schwery 2022,1,BPTB,BPTB,87,NA,NA,NA,NA,NA,NA,NA,NA,0,"Group 1, 2, 3 are graft specific split, group 4,5 is M/F split. No group specific demographics, only whole sample in paper.",1,Careful with independent groups
Schwery 2022,2,HT,HS,21,NA,NA,NA,NA,NA,NA,NA,NA,0,"Group 1, 2, 3 are graft specific split, group 4,5 is M/F split. No group specific demographics, only whole sample in paper.",1,Careful with independent groups
Schwery 2022,3,QT,QT,17,NA,NA,NA,NA,NA,NA,NA,NA,0,"Group 1, 2, 3 are graft specific split, group 4,5 is M/F split. No group specific demographics, only whole sample in paper.",1,Careful with independent groups
Schwery 2022,4,Male,mixed,51,NA,NA,0,NA,NA,NA,NA,NA,0,"Group 1, 2, 3 are graft specific split, group 4,5 is M/F split. No group specific demographics, only whole sample in paper.",1,Careful with independent groups
Schwery 2022,5,Female,mixed,74,NA,NA,74,NA,NA,NA,NA,NA,0,"Group 1, 2, 3 are graft specific split, group 4,5 is M/F split. No group specific demographics, only whole sample in paper.",1,Careful with independent groups
Sengoku 2022,1,ST Group,HS - ST,41,21.7,9.2,20,22.4,2.9,NA,NA,NA,1,NA,1,NA
Sengoku 2022,2,STG Group,HS - ST/G,41,19.6,7,20,22.4,3.4,NA,NA,NA,1,NA,1,NA
Severyns 2022,1,Without ACL retear,HS,93,26.5,9,31,23.6,3.8,7,NA,NA,1,NA,1,NA
Severyns 2022,2,With ACLR retear,HS,11,22.7,6.1,4,21.3,3.5,7.3,NA,NA,1,NA,1,NA
Shelbourne 2022,1,Group 1,Contralateral BPTB,2148,24.3,10.1,910,NA,NA,NA,NA,NA,NA,NA,0,NA
Slater 2022,1,ACLR,mixed,42,20.21,3.29,29,NA,NA,NA,NA,NA,1,NA,0,NA
Slater 2022,2,Healthy Control,"NA",38,20.07,1.39,24,NA,NA,NA,NA,NA,1,NA,0,NA
Sonesson 2021a,1,Group 1,ACLD,72,27,7,28,24,4,NA,NA,NA,NA,NA,0,NA
Straub 2022,1,Total,mixed,434,18.6,4.4,303,23,2.8,NA,NA,NA,NA,NA,0,NA
Suh 2021,1,Dominant,HS,58,29.5,9.1,18,24.6,3.6,NA,NA,NA,1,NA,1,NA
Suh 2021,2,Non-dominant,HS,42,28.8,9.1,10,24,3.9,NA,NA,NA,1,NA,1,NA
Sullivan 2022,1,Male,not stated,10,21.6,7.1,0,NA,NA,NA,NA,NA,1,NA,1,NA
Sullivan 2022,2,Female,not stated,8,20,5.6,8,NA,NA,NA,NA,NA,1,NA,1,NA
Suzuki 2022,1,Group 1,HS,78,22.9,10.2,42,NA,NA,NA,NA,NA,NA,NA,0,NA
Thompson 2022,1,Men,mixed,146,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA
Thompson 2022,2,Women,mixed,153,NA,NA,153,NA,NA,NA,NA,NA,NA,NA,1,NA
Ueda 2022,1,All patients,mixed,144,25.8,11.9,62,22.6,3,7.6,NA,NA,NA,NA,0,NA
Ueda 2021,1,Group 1,HS,97,21.7,8.5,46,22.2,2.9,7.8,NA,NA,NA,NA,0,NA
Vijayan 2021a,1,Rigidfix,HS,47,33.02,8.8,10,NA,NA,NA,NA,NA,1,NA,0,NA
Vijayan 2021a,2,Rigidloop,HS,48,32.9,9.5,8,NA,NA,NA,NA,NA,1,NA,0,NA
Vijayan 2021b,1,Total,HS,69,30.22,9.34,7,NA,NA,NA,NA,NA,NA,NA,0,NA
Walaszek 2022,1,Both strong and symmetrical,mixed,26,18.5,3.3,8,23.2,3.3,NA,NA,NA,1,NA,1,NA
Walaszek 2022,2,Strong only,mixed,4,20.2,1.9,1,21.9,2.7,NA,NA,NA,1,NA,1,NA
Walaszek 2022,3,Symmetrical Only,mixed,30,18,3.5,19,25,5,NA,NA,NA,1,NA,1,NA
Walaszek 2022,4,Neither strong nor symmetrical,mixed,113,19,3.6,72,25,4.7,NA,NA,NA,1,NA,1,NA
Wenning 2023,1,GA,HS,47,NA,NA,16,NA,NA,NA,NA,Median 24.1 (IQR 3.9),1,NA,1,NA
Wenning 2023,2,GA + pFNB,HS,37,NA,NA,10,NA,NA,NA,NA,Median 24.7 (IQR 4.7),1,NA,1,NA
Wenning 2023,3,Spinal,HS,169,NA,NA,40,NA,NA,NA,NA,Median 24.5 (4.0),1,NA,1,NA
Wenning 2023,4,Spinal + pFNB,HS,185,NA,NA,61,NA,NA,NA,NA,Median 24.2 (4.3),1,NA,1,NA
Zore 2021,1,All,HS,63,34.7,12.3,26,24.9,4.4,6.7,NA,NA,NA,NA,0,NA
Zumstein 2022,1,Dominant group,HS,48,32.33,9.85,14,NA,NA,NA,NA,NA,1,NA,1,NA
Zumstein 2022,2,Non-dominant group,HS,52,28.61,8.83,20,NA,NA,NA,NA,NA,1,NA,1,NA
DeFroda 2021,1,Low tension,mixed,32,25.66,10.05,17,NA,NA,NA,NA,NA,1,NA,1,NA
DeFroda 2021,2,High tension,mixed,31,22.48,7.66,19,NA,NA,NA,NA,NA,1,NA,1,NA
Ohsawa 2021,1,NR,mixed,34,27.2,11.7,17,NA,NA,9,NA,NA,1,NA,1,NA
Ohsawa 2021,2,R,mixed,62,23.4,10.2,22,NA,NA,8.5,NA,NA,1,NA,1,NA
Plocki 2022,1,Group 1,HS - ST/G,51,34.4,7.2,13,NA,NA,NA,NA,NA,NA,NA,0,NA
Sonesson 2021b,1,Group 1,ACLD,68,30.6,8.3,30,NA,NA,NA,NA,NA,NA,NA,0,NA
Wongcharoenwatana 2019,1,Group 1,not stated,60,29.6,NA,7,NA,NA,NA,NA,NA,NA,NA,0,NA
Raoul 2018,1,Group 1,mixed,182,28.7,8.6,50,23.5,3.3,NA,NA,NA,NA,NA,0,NA
Zhi-Cheng 2018,1,Group 1,HS,118,25.66,5.18,40,24.16,3.28,NA,NA,NA,NA,NA,0,NA
Mitomo 2023,1,Group 1,HS,50,20,12.3,28,23.1,3,7,NA,NA,NA,NA,0,NA
Marigi 2022,1,No SACL,mixed,285,26.5,10.9,127,NA,NA,NA,NA,NA,1,NA,1,NA
Marigi 2022,2,SACL,mixed,59,24.1,9.6,30,NA,NA,NA,NA,NA,1,NA,1,NA
Czamara 2010b,1,ACLR,HS - ST/G,54,25.5,8.3,0,NA,NA,NA,NA,NA,1,NA,0,NA
Czamara 2010b,2,Healthy Control,"NA",54,24.4,5.1,0,NA,NA,NA,NA,NA,1,NA,0,NA
Kim 2019,1,Group A,BPTB,83,29.9,10,16,NA,NA,6.3,NA,NA,1,NA,1,NA
Kim 2019,2,Group B,BPTB,38,32.2,11.2,8,NA,NA,6.3,NA,NA,1,NA,1,NA
Kim 2019,3,Group C,BPTB,35,31.7,9.5,4,NA,NA,6.5,NA,NA,1,NA,1,NA
Kim 2019,4,Group D,BPTB,29,29.1,12,4,NA,NA,6.5,NA,NA,1,NA,1,NA
Krych 2015,1,FNB,BPTB,96,21.2,7.4,35,NA,NA,NA,NA,NA,1,NA,1,NA
Krych 2015,2,Control,BPTB,100,20.2,5.9,65,NA,NA,NA,NA,NA,1,NA,1,NA
Tajima 2020,1,BPTB-G,BPTB-G,32,22.7,8.9,2,28.4,5.6,NA,NA,NA,1,NA,1,NA
Tajima 2020,2,ST-G,HS - ST/G,43,24.8,7.3,3,23.5,2.8,NA,NA,NA,1,NA,1,NA
Ageberg 2016,1,Training Only,ACLD,18,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,0,NA
Goetschius 2019,1,Non-BTPB,mixed,25,21.7,3.4,19,NA,NA,NA,NA,NA,1,NA,1,exclude controls from combo
Goetschius 2019,2,BTB,BPTB,26,24.1,5.4,18,NA,NA,NA,NA,NA,1,NA,1,exclude controls from combo
Goetschius 2019,3,Healthy Control,"NA",21,22.2,3.1,13,NA,NA,NA,NA,NA,1,NA,1,exclude controls from combo
Beretta-Piccoli 2016,1,Healthy Control,"NA",19,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA
Beretta-Piccoli 2016,2,R12,HS,10,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA
Beretta-Piccoli 2016,3,R24,HS,23,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA
Bjornsson 2016,1,PT,BPTB,61,28.2,9.1,19,NA,NA,NA,NA,NA,1,NA,1,NA
Bjornsson 2016,2,HT,HS,86,26.8,7.6,33,NA,NA,NA,NA,NA,1,NA,1,NA
Rhatomy 2019,1,Group 1,Peroneus Longus,31,27.58,8.69,9,NA,NA,NA,NA,NA,NA,NA,0,NA
Pietrosimone 2016,1,Group 1,mixed,96,21.7,3.85,62,NA,NA,NA,NA,NA,NA,NA,0,NA
