study,randomsequence_c,allocation_c,blinding_patient_c,blinding_therapist_c,blinding_assessor_c,outcome_c,selection_c,attrition_c,analysis_c
Urabe 2002,NA,NA,NA,NA,High,Unclear,Unclear,Low,High
Tyler 2004,Unclear,Unclear,Low,Unclear,High,Low,NA,High,High
Thomas 2013,NA,NA,NA,NA,High,Low,Unclear,NA,Low
Tate 2017,NA,NA,NA,NA,High,Low,Low,NA,Low
Rhim 2020,NA,NA,NA,NA,High,Low,Unclear,NA,Low
Noehren 2014,NA,NA,NA,NA,High,Low,High,NA,Low
Nicholas 2001,Unclear,Unclear,Unclear,Unclear,Low,Low,NA,Low,High
Myklebust 2017,NA,NA,NA,NA,High,Low,Low,NA,Low
Lima 2015,NA,NA,NA,NA,High,Low,Unclear,NA,Low
Kline 2018,NA,NA,NA,NA,High,Low,Low,NA,Low
Balki 2019,Low,Unclear,Unclear,High,Low,Low,NA,Low,Low
Bando 2017,NA,NA,NA,NA,High,Low,Unclear,NA,Low
Bell 2016,NA,NA,NA,NA,High,Low,Low,NA,Low
Dalton 2011,NA,NA,NA,NA,High,Low,Unclear,NA,Low
Geoghegan 2007,High,High,High,High,High,High,Low,Low,High
Hadi 2019,NA,NA,NA,NA,High,Low,Low,NA,Low
Hall 2015,NA,NA,NA,NA,High,Low,Low,NA,Low
Harput 2018,NA,NA,NA,NA,High,Low,Unclear,NA,Low
Hoch 2019,NA,NA,NA,NA,High,Low,Unclear,NA,Low
Karanikas 2005,High,High,High,High,High,Low,Unclear,Low,Low
Karanikas 2004,NA,NA,NA,NA,High,Low,Unclear,NA,Low
Everhart 2020a,NA,NA,NA,NA,High,High,Low,NA,Low
O'Malley 2018,NA,NA,NA,NA,High,Low,High,NA,Low
Dauty 2014,NA,NA,NA,NA,High,High,Low,Low,Low
Hamrin Senorski 2017,NA,NA,NA,NA,High,Unclear,Low,NA,Low
Christensen 2017,NA,NA,NA,NA,High,High,Low,NA,Low
Ageberg 2016,NA,NA,NA,NA,High,Low,Low,NA,Low
Akoto 2019,NA,NA,NA,NA,High,High,Low,NA,Low
Ardern 2010,NA,NA,NA,NA,High,Low,Low,NA,Low
Ardern 2011,NA,NA,NA,NA,High,High,Low,NA,Low
Arhos 2020a,NA,NA,NA,NA,High,Low,Low,Low,Low
Bailey 2019,Unclear,Unclear,Unclear,Unclear,Low,Unclear,NA,Low,Low
Batty 2019,NA,NA,NA,NA,High,Low,Low,Low,Low
Baumgart 2017,NA,NA,NA,NA,High,Low,Unclear,NA,Low
Blakeney 2018,NA,NA,NA,NA,High,High,High,Low,Low
Bodkin 2017,NA,NA,NA,NA,High,Low,Unclear,NA,Low
Boo 2020,NA,NA,NA,NA,High,High,Low,Low,High
Bookbinder 2020,NA,NA,NA,NA,High,Low,Unclear,Low,Low
Bryant 2011,NA,NA,NA,NA,High,Low,Low,NA,Low
Button 2014,NA,NA,NA,NA,High,High,High,NA,Low
Chen 2017,NA,NA,NA,NA,High,Low,High,NA,Low
Culvenor 2016a,NA,NA,NA,NA,High,Low,Low,NA,Low
Barnett 2020,NA,NA,NA,NA,Low,Low,Low,Low,Low
Nakanishi 2020,NA,NA,NA,NA,High,High,Unclear,NA,Low
Carolan 2020,NA,NA,NA,NA,High,Low,Low,NA,Low
Chen 2015,High,High,High,High,High,High,NA,Low,Low
Chung 2015a,NA,NA,NA,NA,High,Low,High,Low,Low
Cristiani 2019,NA,NA,NA,NA,High,Low,Low,NA,Low
Cristiani 2020,Unclear,Low,Unclear,Unclear,Unclear,Low,NA,High,Low
Curran 2020,NA,NA,NA,NA,High,Low,Low,NA,Low
Czamara 2011b,NA,NA,NA,NA,High,High,Unclear,Unclear,Low
Czamara 2018,NA,NA,NA,NA,High,Low,High,Low,Low
Dauty 2010,Unclear,Unclear,High,High,Low,Low,NA,Low,High
Dempsey 2019,NA,NA,NA,NA,High,Low,Low,NA,Low
Dobija 2019,NA,NA,NA,NA,High,Low,High,NA,Low
Drocco 2017,NA,NA,NA,NA,High,High,Unclear,High,Low
Everhart 2020b,NA,NA,NA,NA,High,High,Low,NA,Low
Eitzen 2010b,NA,NA,NA,NA,High,Unclear,Low,High,Low
Eitzen 2010a,NA,NA,NA,NA,High,Low,Low,NA,Low
Eiji 2016,NA,NA,NA,NA,High,High,Low,NA,Low
Edwards 2018,NA,NA,NA,NA,High,Low,Unclear,NA,Low
Ebert 2019,NA,NA,NA,NA,High,Unclear,Low,Low,Low
Ebert 2018,NA,NA,NA,NA,High,Low,Low,NA,Low
Falstrom 2017,NA,NA,NA,NA,High,Low,Low,NA,Low
Fischer 2017,NA,NA,NA,NA,High,Low,Unclear,NA,Low
Fischer 2018,NA,NA,NA,NA,High,Low,Unclear,NA,Low
Fujita 2011,High,High,Unclear,High,High,High,NA,Low,High
Iwame 2020,NA,NA,NA,NA,High,High,Unclear,Unclear,Low
Iriuchishima 2012,NA,NA,NA,NA,High,Low,Unclear,Unclear,Low
Inagaki 2013,High,High,High,High,High,High,Low,Low,Low
Gao 2010,NA,NA,NA,NA,High,High,Low,NA,Low
Gifstad 2013,Unclear,Low,Unclear,High,Low,High,NA,High,Low
Gifstad 2014,Unclear,Low,Unclear,High,High,High,NA,Low,Low
Gokeler 2017a,NA,NA,NA,NA,High,Low,High,NA,Low
Gupta 2018,NA,NA,NA,NA,High,High,Low,NA,High
Guney-Deniz 2020,NA,NA,NA,NA,High,Low,High,NA,Low
Grindem 2011,NA,NA,NA,NA,High,Low,Low,NA,Low
Hunnicutt 2020a,NA,NA,NA,NA,High,Low,Low,Unclear,Low
Hu 2020,NA,NA,NA,NA,High,Low,Low,NA,Low
Hsieh 2015,NA,NA,NA,NA,High,Low,Low,NA,Low
Harput 2020a,NA,NA,NA,NA,High,Low,Low,Unclear,Low
Jang 2014,NA,NA,NA,NA,High,Low,Low,Low,Low
Jeong-Ku 2016,NA,NA,NA,NA,High,Unclear,Low,NA,High
Jiang 2012,High,High,High,High,High,Unclear,Unclear,Low,Low
Meierbachtol 2017,NA,NA,NA,NA,High,High,High,Unclear,Low
Meierbachtol 2018,NA,NA,NA,NA,High,Unclear,Unclear,Low,Low
Menzer 2017,NA,NA,NA,NA,High,Low,High,NA,Low
Miles 2019,High,High,High,High,High,Low,Low,Unclear,Low
Mohtadi 2015,Low,Unclear,Low,High,Low,Unclear,NA,Low,Low
Kim 2015b,NA,NA,NA,NA,High,Low,Unclear,NA,Low
Kim 2015a,Unclear,Unclear,Unclear,High,High,Low,NA,Low,Low
Kim 2011,High,High,High,High,High,Low,Low,NA,Low
Kilinc 2016,NA,NA,NA,NA,High,High,Unclear,NA,Low
Keays 2019,NA,NA,NA,NA,High,Low,Unclear,NA,Low
Kanamoto 2015,NA,NA,NA,NA,High,High,Low,NA,Low
Kawahara 2012,NA,NA,NA,NA,High,Low,High,NA,Low
Koga 2014,NA,NA,NA,NA,Low,High,Low,Low,Low
Koga 2015a,High,High,Low,High,Low,High,NA,High,High
Koga 2015b,Low,Unclear,Low,High,Low,High,NA,Low,Low
Kouloumentas 2019,Low,Low,High,High,High,Unclear,NA,Low,Low
Konrads 2016,High,High,High,High,High,Unclear,NA,High,Low
Koutras 2013,High,High,Low,High,Low,Unclear,Low,Low,Low
Kovalak 2018,NA,NA,NA,NA,High,Low,Unclear,High,Low
Krishna 2020,Low,Unclear,High,High,High,High,NA,Low,Low
Kwak 2018,NA,NA,NA,NA,High,High,Low,Unclear,Low
KyoungHo 2017,NA,NA,NA,NA,High,High,Low,Low,Low
Kyritsis 2016,NA,NA,NA,NA,High,Unclear,Low,NA,Low
Kyung 2015,NA,NA,NA,NA,High,High,High,NA,Low
Laudner 2015,NA,NA,NA,NA,High,Low,Unclear,NA,Low
Leal-Blanquet 2011,High,High,High,High,High,Low,Low,Low,Low
Lee 2016,NA,NA,NA,NA,High,High,Unclear,Unclear,Low
Lee 2018a,NA,NA,NA,NA,High,Unclear,Low,NA,Low
Lee 2018b,NA,NA,NA,NA,High,Unclear,Low,NA,Low
Lee 2019,NA,NA,NA,NA,High,Unclear,Low,NA,Low
Lee 2020,NA,NA,NA,NA,High,Unclear,Low,NA,Low
Leister 2019,NA,NA,NA,NA,Low,Low,Low,NA,Low
Leiter 2014,NA,NA,NA,NA,High,High,Low,High,Low
Lentz 2015,NA,NA,NA,NA,High,Low,Low,High,Low
Logerstedt 2012,NA,NA,NA,NA,High,Low,Unclear,Low,Low
Logerstedt 2013,NA,NA,NA,NA,High,Unclear,Unclear,Low,Low
Lui 2012,Low,Unclear,High,High,Low,Unclear,NA,High,High
Niki 2011,High,High,Unclear,High,High,High,Low,Low,Low
Noh 2012,Low,Unclear,Unclear,Unclear,High,High,NA,Low,High
Norte 2020,NA,NA,NA,NA,High,Low,High,NA,Low
Shelbourne 2015,NA,NA,NA,NA,High,High,Low,Unclear,Low
Roger 2020,High,Unclear,Low,High,High,Unclear,NA,Low,High
Park 2015,NA,NA,NA,NA,High,Low,Unclear,NA,Low
Noh 2013a,Low,Unclear,Unclear,High,Unclear,High,NA,Low,High
O'Connor 2020,NA,NA,NA,NA,High,Low,Low,NA,Low
Pei-An 2020,NA,NA,NA,NA,High,Low,Unclear,NA,Low
Sasaki 2016,Low,Unclear,Unclear,High,High,High,NA,Low,High
Webster 2018,NA,NA,NA,NA,High,Low,Low,NA,Low
Zult 2017,NA,NA,NA,NA,High,Low,High,NA,Low
Yuya 2020,NA,NA,NA,NA,High,Low,Low,NA,Low
Wang 2015a,NA,NA,NA,NA,High,Low,Low,NA,High
Sipka 2019,NA,NA,NA,NA,High,Low,Unclear,NA,Low
Stropnik 2020,NA,NA,NA,NA,High,Unclear,High,High,Low
Riesterer 2020,NA,NA,NA,NA,High,Low,Low,Low,Low
Pua 2017,NA,NA,NA,NA,High,Low,Low,NA,Low
Aizawa 2022,NA,NA,NA,NA,High,Low,Low,NA,Low
Alt 2022,NA,NA,NA,NA,High,Low,Unclear,NA,Low
Arumugam 2022,NA,NA,NA,NA,High,Low,Low,NA,Low
Balki 2021,NA,NA,NA,NA,High,Low,High,NA,Low
Bodkin 2021,NA,NA,NA,NA,High,Low,High,NA,Low
Bregenhof 2023,Low,Low,High,High,Low,Unclear,NA,Low,Low
Byrne 2021,NA,NA,NA,NA,High,Low,Unclear,NA,Low
Casp 2021,NA,NA,NA,NA,High,Unclear,High,NA,Low
Chantrelle 2023,NA,NA,NA,NA,High,Low,Unclear,Low,Low
Coquard 2022,NA,NA,NA,NA,High,Unclear,Low,NA,Low
Czamara 2021,NA,NA,NA,NA,High,Low,Low,Low,Low
Runner 2018,Low,Low,Low,Low,Low,Low,NA,High,High
Noh 2013b,Low,Unclear,High,High,Low,High,NA,Low,Low
Nakase 2012,NA,NA,NA,NA,High,High,High,NA,Low
Norte 2019a,NA,NA,NA,NA,High,Low,Unclear,NA,Low
Raoul 2019,NA,NA,NA,NA,High,Unclear,Low,NA,Low
Sherman 2020,NA,NA,NA,NA,High,Low,Unclear,NA,Low
Dauty 2022a,NA,NA,NA,NA,High,Low,Low,Low,Low
Dauty 2022b,NA,NA,NA,NA,High,Low,Low,Low,Low
Nishio 2018,NA,NA,NA,NA,High,High,Unclear,NA,Low
Pamukoff 2018,NA,NA,NA,NA,High,Low,Unclear,NA,Low
Norte 2019b,NA,NA,NA,NA,High,Low,Low,NA,Low
Niki 2012,NA,NA,NA,NA,High,High,Low,Low,Low
Peebles 2019b,NA,NA,NA,NA,High,Low,High,NA,Low
deSouzaBorges 2022,Low,Low,High,High,Low,Low,NA,Low,Low
Devitt 2022,NA,NA,NA,NA,High,High,Low,Low,Low
Dragicevic 2022,NA,NA,NA,NA,High,High,High,Unclear,High
Drigny 2022,NA,NA,NA,NA,High,Low,Low,Low,Low
Duckett 2021,NA,NA,NA,NA,High,Low,Unclear,NA,Low
Ebert 2022a,NA,NA,NA,NA,Unclear,Unclear,Low,NA,Low
Faleide 2021,NA,NA,NA,NA,High,Low,High,High,Low
Faltstrom 2021,NA,NA,NA,NA,High,Low,Low,NA,Low
Felix 2022,NA,NA,NA,NA,High,Low,Unclear,NA,Low
Fukuyama 2022,NA,NA,NA,NA,High,Low,High,NA,Low
Gauthier 2022,NA,NA,NA,NA,High,Unclear,Low,NA,Low
Goto 2022,NA,NA,NA,NA,High,Low,Low,NA,Low
Grondin 2022,NA,NA,NA,NA,High,Low,Low,NA,High
Hart 2022,NA,NA,NA,NA,High,Low,Low,NA,Low
Hogberg 2023,NA,NA,NA,NA,High,Low,Low,Unclear,Unclear
Hunnicutt 2021,NA,NA,NA,NA,High,Low,Low,Low,Low
Ivarsson 2022,NA,NA,NA,NA,High,Low,Low,NA,Low
Thomee 2012,NA,NA,NA,NA,High,Low,Low,Unclear,Low
Welling 2020,NA,NA,NA,NA,High,Unclear,Low,NA,Low
Iwame 2021,NA,NA,NA,NA,High,Low,Unclear,NA,Low
Jeon 2022,NA,NA,NA,NA,High,Unclear,Low,Low,Low
Jiang 2021,NA,NA,NA,NA,High,Low,Low,Low,Low
Keays 2022,NA,NA,NA,NA,High,Low,Unclear,NA,High
Kim 2022,NA,NA,NA,NA,Low,Low,Low,Low,Low
Kim 2023,NA,NA,NA,NA,High,High,Low,Low,Low
King 2021,NA,NA,NA,NA,High,Unclear,Low,NA,Low
Welling 2018b,NA,NA,NA,NA,High,Unclear,Low,NA,Low
Shibata 2019,NA,NA,NA,NA,High,Low,Unclear,Low,Low
Nakayama 2013,Unclear,Unclear,High,High,High,High,NA,Unclear,Low
Tourville 2014,NA,NA,NA,NA,High,Low,High,NA,Low
Welling 2018a,NA,NA,NA,NA,High,Low,Low,NA,Low
Webster 2017,NA,NA,NA,NA,High,Low,Low,NA,Low
Lee 2021,NA,NA,NA,NA,High,High,Low,High,High
Li 2022,Low,Unclear,Unclear,High,Low,Low,NA,Low,High
Manchado 2022,NA,NA,NA,NA,High,Low,Low,NA,Low
Manchado 2021,NA,NA,NA,NA,High,Low,High,NA,Low
Markstrom 2023,NA,NA,NA,NA,High,Low,Low,NA,Low
Mesnard 2022,NA,NA,NA,NA,High,Low,Low,NA,Low
Moran 2022a,NA,NA,NA,NA,High,Low,Low,Low,Low
Moran 2022b,NA,NA,NA,NA,High,Low,Unclear,NA,Low
Trigsted 2017,NA,NA,NA,NA,High,Low,Low,NA,Low
Welling 2019,NA,NA,NA,NA,High,Low,Low,Unclear,Low
Van Yperen 2018,NA,NA,NA,NA,High,Unclear,High,Low,Low
Murakami 2023,NA,NA,NA,NA,High,Low,Low,NA,Low
Ohji 2021,NA,NA,NA,NA,High,Unclear,Unclear,NA,Low
Ueda 2017,NA,NA,NA,NA,High,Low,Low,Low,Low
Reinke 2011,NA,NA,NA,NA,High,Low,Low,NA,Low
Novaretti 2018,NA,NA,NA,NA,High,Low,Low,NA,Low
Pua 2015,NA,NA,NA,NA,High,Low,Low,NA,Low
Yoo 2017,Unclear,Low,Unclear,High,High,Unclear,NA,Low,High
Palmieri-Smith 2015,NA,NA,NA,NA,High,Low,Low,NA,Low
Wipfler 2011,High,High,Unclear,High,High,High,NA,Unclear,Low
Oliveira 2022,Low,Low,High,High,Low,High,NA,Low,High
Piussi 2022,NA,NA,NA,NA,High,Unclear,Low,Low,Low
Powers 2022,NA,NA,NA,NA,High,Low,Unclear,NA,Low
Qiu 2022,NA,NA,NA,NA,High,Low,Low,NA,Low
Rahova 2022,NA,NA,NA,NA,High,High,High,NA,Low
Read 2021,NA,NA,NA,NA,High,Low,Low,NA,Low
Read 2022,NA,NA,NA,NA,High,Low,Low,Low,Low
Runer 2022,NA,NA,NA,NA,High,High,Low,High,High
Salatkaite 2021,NA,NA,NA,NA,High,Unclear,Unclear,NA,Low
SanJose 2023,NA,NA,NA,NA,High,Low,Low,High,Low
Schwery 2022,NA,NA,NA,NA,High,Low,Unclear,Unclear,Low
Sengoku 2022,NA,NA,NA,NA,High,High,Low,Low,Low
Severyns 2022,NA,NA,NA,NA,High,Unclear,Low,NA,Low
Shelbourne 2022,NA,NA,NA,NA,High,High,Low,Unclear,Low
Slater 2022,NA,NA,NA,NA,High,Low,Unclear,NA,Low
Sonesson 2021a,NA,NA,NA,NA,High,Low,Low,High,Low
Straub 2022,NA,NA,NA,NA,High,Low,Low,NA,Low
Suh 2021,NA,NA,NA,NA,Low,Low,Low,Low,Low
Sullivan 2022,NA,NA,NA,NA,High,Low,Low,NA,Low
Suzuki 2022,NA,NA,NA,NA,High,High,Low,Low,Low
Thompson 2022,NA,NA,NA,NA,High,Unclear,Low,NA,Low
Ueda 2022,NA,NA,NA,NA,High,Low,Low,NA,Low
Ueda 2021,NA,NA,NA,NA,High,High,Low,NA,Low
Vijayan 2021a,NA,NA,NA,NA,High,High,Low,NA,Low
Vijayan 2021b,NA,NA,NA,NA,High,Unclear,Low,NA,Low
Walaszek 2022,NA,NA,NA,NA,High,Low,Unclear,NA,Low
Wenning 2023,NA,NA,NA,NA,High,Low,Low,Low,Low
Zore 2021,NA,NA,NA,NA,High,Unclear,Low,Low,Low
Zumstein 2022,NA,NA,NA,NA,High,Low,Low,NA,Low
Ohsawa 2021,NA,NA,NA,NA,High,High,Low,NA,Low
Plocki 2022,NA,NA,NA,NA,High,High,Low,NA,Low
Sonesson 2021b,NA,NA,NA,NA,High,Low,Low,NA,Low
Wongcharoenwatana 2019,NA,NA,NA,NA,High,High,Unclear,NA,Low
Raoul 2018,NA,NA,NA,NA,High,Low,Low,NA,Low
Zhi-Cheng 2018,NA,NA,NA,NA,High,High,Low,High,Low
Mitomo 2023,NA,NA,NA,NA,High,Low,Low,Low,Low
Marigi 2022,NA,NA,NA,NA,High,High,Low,NA,Low
Czamara 2010b,NA,NA,NA,NA,High,Low,High,Low,Low
Kim 2019,NA,NA,NA,NA,High,Unclear,Low,Low,Low
Krych 2015,NA,NA,NA,NA,High,Unclear,Low,NA,High
Tajima 2020,NA,NA,NA,NA,High,High,Low,NA,Low
Almeida 2019,NA,NA,NA,NA,High,Low,Low,NA,Low
Barie 2018,NA,NA,NA,NA,High,Unclear,Unclear,NA,Low
Bartels 2016,Unclear,Unclear,Unclear,High,High,High,NA,Unclear,Low
Bodkin 2020,NA,NA,NA,NA,High,Low,Low,NA,Low
Calvo-Lobo 2018,NA,NA,NA,NA,High,Low,Low,NA,Low
Czamara 2010a,NA,NA,NA,NA,High,High,Low,Low,High
Engelen-VanMelick 2017,NA,NA,NA,NA,High,Low,High,NA,Low
Getgood 2020,Low,Unclear,Unclear,High,Low,Low,NA,Low,Low
Ghalayani 2010,Low,Low,Unclear,High,High,Unclear,NA,Low,High
Goetschius 2015,NA,NA,NA,NA,High,Low,Unclear,Low,Low
Goetschius 2016,NA,NA,NA,NA,High,Low,Unclear,NA,Low
Haillotte 2017,NA,NA,NA,NA,High,Low,Low,High,Low
Huber 2019,NA,NA,NA,NA,High,Low,Low,Unclear,Low
Hughes 2019a,NA,NA,NA,NA,High,Low,Low,Unclear,Low
Johnson 2018,NA,NA,NA,NA,High,Low,High,NA,Low
Joseph 2020,NA,NA,NA,NA,High,Low,Low,NA,Low
Karimi-Mobarakeh 2015,Unclear,Unclear,Low,High,Low,Unclear,NA,Low,High
Kew 2020,NA,NA,NA,NA,High,Low,Low,NA,Low
Kim 2020,NA,NA,NA,NA,High,Low,Unclear,NA,Low
Konishi 2010,NA,NA,NA,NA,High,Low,High,NA,Low
Krolikowska 2015,NA,NA,NA,NA,High,Low,Unclear,NA,Low
Krolikowska 2019,NA,NA,NA,NA,High,Low,Unclear,NA,Low
Kuenze 2013,NA,NA,NA,NA,High,Low,Unclear,NA,Low
Kuenze 2019a,NA,NA,NA,NA,High,Low,Low,NA,Low
Kuenze 2019b,NA,NA,NA,NA,High,Low,Low,NA,Low
Labanca 2016,NA,NA,NA,NA,High,Low,Low,Low,Low
Labanca 2018,Unclear,Unclear,High,High,Low,Low,NA,Low,Low
Landes 2010,NA,NA,NA,NA,High,Low,High,NA,Low
Lepley 2014,NA,NA,NA,NA,High,Low,High,NA,Low
Lepley 2016,NA,NA,NA,NA,High,Low,Unclear,Low,Low
Lesevic 2020,NA,NA,NA,NA,High,Unclear,Low,NA,Low
Lynch 2012,NA,NA,NA,NA,High,Low,Low,NA,Low
Mariani 2019,NA,NA,NA,NA,High,Low,Low,Unclear,Low
Mayer 2015,NA,NA,NA,NA,High,Unclear,Low,NA,High
McGrath 2017,NA,NA,NA,NA,Low,Unclear,High,Unclear,Low
Murray 2019b,NA,NA,NA,NA,High,High,Low,NA,Low
Norte 2018,NA,NA,NA,NA,High,Low,Unclear,NA,Low
Pietrosimone 2015,NA,NA,NA,NA,High,Low,Low,NA,Low
Siney 2010,NA,NA,NA,NA,High,High,Unclear,NA,Low
Stener 2010,Unclear,Low,Unclear,High,Unclear,Unclear,NA,Low,Unclear
Sutherland 2010,NA,NA,NA,NA,High,Unclear,Low,NA,High
Telianidis 2014,NA,NA,NA,NA,High,Low,Low,NA,Low
Tugcu 2013,NA,NA,NA,NA,High,Low,Unclear,Unclear,High
Ventura 2013,Unclear,Low,Low,High,Low,Low,NA,Unclear,Low
Vermesan 2014,NA,NA,NA,NA,High,Unclear,Low,NA,Low
Goetschius 2019,NA,NA,NA,NA,High,Low,Low,Low,Low
Beretta-Piccoli 2016,NA,NA,NA,NA,High,Low,High,NA,Low
Mouzopoulos 2015,Unclear,Unclear,Unclear,Unclear,High,Low,High,Low,High
Rhatomy 2019,NA,NA,NA,NA,High,High,Low,NA,Low
Ericsson 2013,Low,Low,High,High,Low,Unclear,NA,High,Low
Karikis 2016,Low,Low,High,High,Low,Low,NA,Low,Low
Ahlden 2013,Unclear,Low,High,High,Low,Low,NA,Low,High
Arhos 2021,NA,NA,NA,NA,High,Low,Low,Low,Low
Arundale 2017,Low,Unclear,High,High,Low,Unclear,NA,Low,High
Capin 2019,Low,Unclear,Unclear,High,Low,Unclear,NA,Low,Low
Oiestad 2013,NA,NA,NA,NA,High,Unclear,Low,Low,Low
Risberg 2016,NA,NA,NA,NA,High,Low,Low,Low,Low
Aune 2001,Unclear,Unclear,Unclear,High,High,Unclear,NA,Low,Unclear
Holm 2010,Unclear,Unclear,Unclear,Unclear,High,Unclear,NA,High,Low
Risberg 1999a,Unclear,Unclear,Unclear,High,High,Low,NA,Low,Low
Risberg 1999b,NA,NA,NA,NA,High,Low,Unclear,Low,Low
Sundemo 2022,NA,NA,NA,NA,High,Unclear,Unclear,NA,High
Beischer 2019,NA,NA,NA,NA,High,Unclear,Low,Low,Low
Piussi 2020,NA,NA,NA,NA,High,Low,Low,NA,Low
Culvenor 2016b,NA,NA,NA,NA,High,Low,Low,NA,Low
Hart 2020,NA,NA,NA,NA,High,Unclear,Low,NA,Low
Girdwood 2023,NA,NA,NA,NA,High,Low,Low,High,Low
Patterson 2020a,NA,NA,NA,NA,High,Low,Low,High,Low
Perraton 2017,NA,NA,NA,NA,High,Low,High,NA,Low
Ebert 2021a,NA,NA,NA,NA,High,Low,Low,NA,Low
Ebert 2021b,NA,NA,NA,NA,High,Low,Low,NA,Low
Eitzen 2010c,NA,NA,NA,NA,High,Low,Unclear,Low,Low
Wellsandt 2018b,NA,NA,NA,NA,High,Unclear,Low,High,Low
Hartigan 2009,Unclear,Unclear,Unclear,High,High,Unclear,NA,Low,Low
Bjornsson 2016,Unclear,Low,High,Unclear,High,High,NA,High,Low
Sundemo 2019,NA,NA,NA,NA,High,Unclear,Low,High,Low
Ejerhed 2003,Unclear,Low,High,High,Unclear,Unclear,NA,Unclear,Unclear
Laxdal 2005,Unclear,Low,High,High,Unclear,Unclear,NA,Unclear,High
Flosadottir 2018,Low,Low,High,High,Unclear,Unclear,NA,High,Low
Barenius 2010,Unclear,Low,Unclear,Unclear,High,Unclear,NA,Low,Low
Eriksson 2001,Unclear,Unclear,Unclear,High,High,High,NA,Low,High
Akelman 2016,Unclear,Low,Unclear,High,Low,Low,NA,High,Low
Fleming 2013,Unclear,Low,Unclear,High,Low,Unclear,NA,Low,High
Costa 2022,Unclear,Low,Unclear,High,Unclear,Unclear,NA,High,Low
DeFroda 2021,Unclear,Low,Unclear,High,High,Unclear,NA,High,Low
Grant 2010,Unclear,Low,High,High,Low,Unclear,NA,High,Low
Grant 2005,Unclear,Low,High,High,Low,Low,NA,Low,Low
Grindem 2012,NA,NA,NA,NA,High,Low,Low,NA,Low
Grindem 2014,NA,NA,NA,NA,High,Low,Low,Low,Low
Grindem 2016,NA,NA,NA,NA,High,Low,Low,Low,Low
Grindem 2018,NA,NA,NA,NA,High,Low,Low,Low,Low
Logerstedt 2014,NA,NA,NA,NA,High,Low,Unclear,Low,Low
Nawasreh 2017,NA,NA,NA,NA,High,Low,Unclear,High,Low
Pedersen 2021,NA,NA,NA,NA,High,Unclear,Low,Low,Low
Heijne 2015,High,High,High,High,High,Unclear,Low,Low,Low
Heijne 2010,Unclear,Low,Unclear,High,Unclear,Unclear,NA,Low,Low
Johnston 2020,NA,NA,NA,NA,High,Low,Low,NA,Low
Johnston 2022,NA,NA,NA,NA,High,Unclear,Low,Low,Low
King 2018,NA,NA,NA,NA,High,Low,Low,NA,Low
Crotty 2022,NA,NA,NA,NA,High,Low,Low,NA,Low
McRae 2013,Low,Low,High,High,Low,Low,NA,High,Low
Beaudoin 2022,Low,Low,High,High,High,Low,NA,High,Low
Strong 2019,NA,NA,NA,NA,High,Low,High,NA,Low
Tengman 2014a,NA,NA,NA,NA,High,Low,High,NA,Low
Tengman 2014b,NA,NA,NA,NA,High,Low,High,NA,Low
Pietrosimone 2016,NA,NA,NA,NA,High,Low,Unclear,NA,Low